,# NAME,Metodo,No de planetas,Periodo (dias),Semi eje (ua),Excen,inclination,mass (Mjup),B5,Radio tierra,Radio (Rjup),B7,Densidad pl gr/cm^3,A├▒o,Teff,Masa estr (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Raz├│n de metalicidad,Edad (gyr),Unnamed: 25
0,11 COM B,Radial Velocity,,326.03,1.29,0.231,,19.4,,,,,,2008,4742,2.7,19,G8 III,,-0.35,,,
1,11 OPH B,Imaging,,730000,243,,,21,,,,,,2007,2375,0.0162,,M9,,,,0.011,
2,11 UMI B,Radial Velocity,,516.22,1.54,0.08,,10.5,,,,,,2009,4340,1.8,24.08,K4III,,0.04,,1.56,
3,14 AND B,Radial Velocity,,185.84,0.83,0,,5.33,,,,,,2008,4813,2.2,11,K0III,,-0.24,,,
4,14 HER B,Radial Velocity,,1773.4,2.77,0.369,,4.64,,,,,,2002,5311,0.9,0.708,K0 V,,0.43,,5.1,
5,16 CYG B B,Radial Velocity,,799.5,1.68,0.689,,1.68,,,,,,1996,5766,1.01,0.98,G2.5 V,,0.08,,8,
6,18 DEL B,Radial Velocity,,993.3,2.6,0.08,,10.3,,,,,,2008,4979,2.3,8.5,G6III,,-0.052,,,
7,1RXS 1609 B,Imaging,,,330,,,14,,,1.7,,,2008,4060,0.73,1.35,K7V,,,,0.011,
8,1SWASP J1407 B,Primary Transit,,3725,3.9,,,20,,,,,,2012,4400,0.9,0.99,,,,,0.016,
9,24 SEX B,Radial Velocity,,452.8,1.333,0.09,,1.99,,,,,,2010,5098,1.54,4.9,G5,,-0.03,,2.7,
10,24 SEX C,Radial Velocity,,883,2.08,0.29,,0.86,,,,,,2010,5098,1.54,4.9,G5,,-0.03,,2.7,
11,2M 0103-55 (AB) B,Imaging,,,84,,,13,,,,,,2013,,0.4,,M,,,,0.03,
12,2M 0122-24 B,Imaging,,,52,,,20,,,1,,,2013,,0.4,,M3.5,,,,0.12,
13,2M 0219-39 B,Imaging,,,156,,,13.9,,,1.44,,,2015,3064,0.11,0.27,M6,,,,,
14,2M 0441+23 B,Imaging,,,15,,,7.5,,,,,,2010,,0.02,,M8.5,,,,0.001,
15,2M 0746+20 B,Imaging,,4640,2.897,0.487,138.2,30,,,0.97,,,2010,2205,0.12,0.089,,,,,,
16,2M 1207-39,Imaging,,,,,,24,,,,,,2001,,0.025,,M8,,,,0.008,
17,2M 1207-39 B,Imaging,,,46,,,4,,,,,,2004,,0.025,,M8,,,,0.008,
18,2M 1938+46 B,Pulsar,,416,0.92,,,1.9,,,,,,2015,,0.6,,sdB+M,,,,,
19,2M 2140+16 B,Imaging,,7340,3.53,0.26,46.2,20,,,0.92,,,2010,2300,0.08,0.1,,,,,,
20,2M 2206-20 B,Imaging,,8686,4.48,0,44.3,30,,,1.3,,,2010,2350,0.13,0.11,,,,,,
21,2M 2236+4751 B,Imaging,,,230,,,12.5,,,,,,2016,,0.6,,K7,,,,0.12,
22,2M J2126-81 B,Imaging,,,6900,,,13.3,,,,,,2016,,0.4,,M2,,,,0.027,
23,2MASS J11193254 AB,Imaging,,32850,,,,3.7,,,,,,2017,,,,L7,,,,0.01,
24,30 ARI B B,Radial Velocity,,335.1,0.995,0.289,,9.88,,,,,,2009,6484,1.22,1.23,F6V,,0.12,,0.91,
25,38 VIR B,Primary Transit,,825.9,1.82,0.03,,4.51,,,,,,2016,6557,1.18,1.45,F6 V,,0.07,,1.9,
26,4 UMA B,Radial Velocity,,269.3,0.87,0.432,,7.1,,,,,,2007,4415,1.234,,K1III,,-0.25,,4.604,
