# name,mass (Mjup),Radio (Rjup),Periodo (dias),Semi eje (ua),Excen,inclination,Año,Metodo,Nombre estr,Metalicidad,Masa estr (Msol),Radio (Rsol),Tipo espectral,Edad (gyr),Teff,Disco detectado,Campo magnetico
11 Com b,19.4,,326.03,1.29,0.231,,2008,Radial Velocity,11 Com,-0.35,2.7,19,G8 III,,4742,,
11 Oph b,21,,730000,243,,,2007,Imaging,11 Oph,,0.0162,,M9,0.011,2375,,
11 UMi b,10.5,,516.22,1.54,0.08,,2009,Radial Velocity,11 UMi,0.04,1.8,24.08,K4III,1.56,4340,,
14 And b,5.33,,185.84,0.83,0,,2008,Radial Velocity,14 And,-0.24,2.2,11,K0III,,4813,,
14 Her b,4.64,,1773.4,2.77,0.369,,2002,Radial Velocity,14 Her,0.43,0.9,0.708,K0 V,5.1,5311,,
16 Cyg B b,1.68,,799.5,1.68,0.689,,1996,Radial Velocity,16 Cyg B,0.08,1.01,0.98,G2.5 V,8,5766,,
18 Del b,10.3,,993.3,2.6,0.08,,2008,Radial Velocity,18 Del,-0.052,2.3,8.5,G6III,,4979,,
1RXS 1609 b,14,1.7,,330,,,2008,Imaging,1RXS1609,,0.73,1.35,K7V,0.011,4060,,
1SWASP J1407 b,20,,3725,3.9,,,2012,Primary Transit,1SWASP J1407,,0.9,0.99,,0.016,4400,,
24 Sex b,1.99,,452.8,1.333,0.09,,2010,Radial Velocity,24 Sex,-0.03,1.54,4.9,G5,2.7,5098,,
24 Sex c,0.86,,883,2.08,0.29,,2010,Radial Velocity,24 Sex,-0.03,1.54,4.9,G5,2.7,5098,,
2M 0103-55 (AB) b,13,,,84,,,2013,Imaging,2M 0103-55 (AB),,0.4,,M,0.03,,,
2M 0122-24 b,20,1,,52,,,2013,Imaging,2M 0122-24,,0.4,,M3.5,0.12,,,
2M 0219-39 b,13.9,1.44,,156,,,2015,Imaging,2M 0219-39,,0.11,0.27,M6,,3064,,
2M 0441+23 b,7.5,,,15,,,2010,Imaging,2M 0441+23,,0.02,,M8.5,0.001,,,
2M 0746+20 b,30,0.97,4640,2.897,0.487,138.2,2010,Imaging,2M 0746+20,,0.12,0.089,,,2205,,
2M 1207-39,24,,,,,,2001,Imaging,2M 1207-39,,0.025,,M8,0.008,,,
2M 1207-39 b,4,,,46,,,2004,Imaging,2M 1207-39,,0.025,,M8,0.008,,,
2M 1938+46 b,1.9,,416,0.92,,,2015,Pulsar,2M  1938+46,,0.6,,sdB+M,,,,
2M 2140+16 b,20,0.92,7340,3.53,0.26,46.2,2010,Imaging,2M 2140+16,,0.08,0.1,,,2300,,
2M 2206-20 b,30,1.3,8686,4.48,0,44.3,2010,Imaging,2M 2206-20,,0.13,0.11,,,2350,,
2M 2236+4751 b,12.5,,,230,,,2016,Imaging,2M 2236+4751,,0.6,,K7,0.12,,,
2M J2126-81 b,13.3,,,6900,,,2016,Imaging,TYC 9486-927-1,,0.4,,M2,0.027,,,
