rowid,STAR NAME,Planet Letter,PlanetName,Method,No de planetas,Periodo dias,Semi eje,excentricidad,Inlcinacion,Masa sin (Mjup),Masa (Mjup),Masa (Mtierra),Radio (Rjup),Radio tierra,Densidad pl gr/cm^3,Año,Teff (K),Masa (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Razón de metalicidad,Edad estr,
1,11 COM,B,11 COM B,Radial Velocity,1,326.03,1.29,0.231,,19.4,,,,,,2007,4742,2.7,19,K0 III,,-0.35,[Fe/H],,"Type=(B2&"" ""&C2)"
2,11 UMI,B,11 UMI B,Radial Velocity,1,516.22,1.54,0.08,,10.5,,,,,,2009,4340,1.8,24.08,K4 III,,0.04,[Fe/H],1.56,
3,14 AND,B,14 AND B,Radial Velocity,1,185.84,0.83,0,,4.8,,,,,,2008,4813,2.2,11,G8 III,,-0.24,[Fe/H],,
4,14 HER,B,14 HER B,Radial Velocity,1,1773.4,2.77,0.369,,4.64,,,,,,2002,5311,0.9,,K0 V,,0.43,[Fe/H],,
5,16 CYG B,B,16 CYG B B,Radial Velocity,1,798.5,1.681,0.681,,1.68,,,,,,1996,5674,0.99,,G2.5 V,,0.038,[Fe/H],,
6,18 DEL,B,18 DEL B,Radial Velocity,1,993.3,2.6,0.08,,10.3,,,,,,2008,4979,2.3,8.5,G6 III,,-0.052,[Fe/H],,
7,1RXS J160929.1-210524,B,1RXS J160929.1-210524 B,Imaging,1,,330,,,8,8,3000,,,,2008,4060,0.85,,K7 V,,,,0.005,
8,24 SEX,B,24 SEX B,Radial Velocity,2,452.8,1.333,0.09,,1.99,,,,,,2010,5098,1.54,4.9,K0 IV,,-0.03,[Fe/H],2.7,
9,24 SEX,C,24 SEX C,Radial Velocity,2,883,2.08,0.29,,0.86,,,,,,2010,5098,1.54,4.9,K0 IV,,-0.03,[Fe/H],2.7,
10,2MASS J01225093-2439505,B,2MASS J01225093-2439505 B,Imaging,1,,52,,,24.5,24.5,7786.5,,,,2013,3530,0.4,,M3.5 V,,,,0.12,
11,2MASS J02192210-3925225,B,2MASS J02192210-3925225 B,Imaging,1,,156,,,13.9,13.9,4417.837,1.44,16.141,,2015,3064,0.11,0.28,M6,,,,0.035,
12,2MASS J04414489+2301513,B,2MASS J04414489+2301513 B,Imaging,1,,15,,,7.5,7.5,2383.6,,,,2010,,0.02,,M8.5,,,,0.001,
13,2MASS J12073346-3932539,B,2MASS J12073346-3932539 B,Imaging,1,,46,,,4,4,1271,,,,2004,,0.02,,M8,,,,0.008,
14,2MASS J19383260+4603591,B,2MASS J19383260+4603591 B,Eclipse Timing Variations,1,416,0.92,,,1.9,1.9,603.877,,,,2015,,0.48,,,,,,,
15,2MASS J21402931+1625183 A,B,2MASS J21402931+1625183 A B,Imaging,1,7336.5,,0.26,46.2,20.95,20.95,6657.48,0.92,10.31,,2009,2300,0.08,0.12,M8.5,,,,,
16,2MASS J22362452+4751425,B,2MASS J22362452+4751425 B,Imaging,1,,230,,,12.5,12.5,3972.875,,,,2016,4045,0.6,,K7 V,,,,0.12,
17,30 ARI B,B,30 ARI B B,Radial Velocity,1,335.1,0.995,0.289,,9.88,,,,,,2009,6300,1.16,1.13,F6 V,,0.245,[Fe/H],0.91,
18,4 UMA,B,4 UMA B,Radial Velocity,1,269.3,0.87,0.432,,7.1,,,,,,2006,4415,1.23,18.11,K1 III,,-0.25,[Fe/H],4.604,
