NAME,Semi-eje (UA),Masa pl (Mjup),Rpl (R jup),Densidad pl (gr/cm^3),Periodo (dias),excentricidad,I deg,Año,Nombre estr,Masa estr (Msol),Radio estr (Rsol),Teff,Densidad estr g/cm^3,Metalicidad,Metodo
11 Com b,1.17872,16.1284,,,326.03,0.231,,2008,11 Com,2.04,12.0698,4830,,-0.34,RV
11 UMi b,1.53498,11.0873,,,516.22,0.08,,2009,11 UMi,1.8,44.65,4340,,0.04,RV
14 And b,0.823151,4.68383,,,185.84,0,,2008,14 And,2.15,11.38,4813,,-0.24,RV
14 Her b,2.93362,5.21486,,,1773.4,0.369,,2003,14 Her,1.066,0.912364,5387.61,,0.459932,RV
16 Cyg B b,1.66027,1.63997,,,798.5,0.681,,1997,16 Cyg B,0.956,1.1176,5674.41,,0.0375072,RV
18 Del b,2.58655,10.298,,,993.3,0.08,,2008,18 Del,2.33,9,5076,,0,RV
24 Sex b,1.4118,1.83564,,,455.2,0.184,,2011,24 Sex,1.81,3.92062,5069,,-0.01,RV
24 Sex c,2.24032,1.51716,,,910,0.412,,2011,24 Sex,1.81,3.92062,5069,,-0.01,RV
30 Ari B b,0.99475,9.87792,,,335.1,0.289,,2009,30 Ari B,1.16,1.02283,6300,,0.15,RV
4 UMa b,0.876999,7.13242,,,269.29999,0.432,,2007,4 UMa,1.234,34.6101,4415,,-0.25,RV
42 Dra b,1.16693,3.73203,,,479.1,0.38,,2009,42 Dra,0.92,22.04,4200,,-0.46,RV
47 UMa b,2.10149,2.54589,,,1078,0.032,,1996,47 UMa,1.063,1.11869,5882.31,,0.0431014,RV
47 UMa c,3.57197,0.545774,,,2391,0.098,,2002,47 UMa,1.063,1.11869,5882.31,,0.0431014,RV
51 Eri b,,,0.76,,,,,2015,51 Eri,1.75,,,,,Imaging
51 Peg b,0.0521068,0.461143,,,4.230785,0.013,,1995,51 Peg,1.054,1.02451,5786.68,,0.199853,RV
55 Cnc b,0.113377,0.801471,,,14.651,0.004,,1997,55 Cnc,0.905,0.943,5196,,0.314513,RV
55 Cnc c,0.237305,0.164558,,,44.38,0.07,,2002,55 Cnc,0.905,0.943,5196,,0.314513,RV
55 Cnc d,5.47467,3.54451,,,4909,0.02,,2002,55 Cnc,0.905,0.943,5196,,0.314513,RV
55 Cnc e,0.0154393,0.0263671,0.185565,4.173,0.736546,0,83.4,2004,55 Cnc,0.905,0.943,5196,,0.314513,RV
55 Cnc f,0.773567,0.172877,,,261.2,0.32,,2008,55 Cnc,0.905,0.943,5196,,0.314513,RV
6 Lyn b,2.18639,2.20888,,,874.774,0.059,,2008,6 Lyn,1.82,5.49553,4978,,-0.13,RV
61 Vir b,0.05006,0.016075,,,4.215,0.12,,2010,61 Vir,0.942,0.978547,5571,,0.05,RV
61 Vir c,0.216926,0.0333747,,,38.021,0.14,,2010,61 Vir,0.942,0.978547,5571,,0.05,RV
61 Vir d,0.474527,0.0715929,,,123.01,0.35,,2010,61 Vir,0.942,0.978547,5571,,0.05,RV
7 CMa b,1.80264,2.43233,,,763,0.14,,2011,7 CMa,1.34,2.3,4761,,0.21,RV
70 Vir b,0.483601,7.46144,,,116.6884,0.4007,,1996,70 Vir,1.101,1.59775,5544.6,,-0.0122615,RV
75 Cet b,1.97678,2.7597,,,691.9,0.117,,2012,75 Cet,2.15,10.5,4904,,0.02,RV
8 UMi b,0.490206,1.52093,,,93.4,0.06,,2015,8 UMi,1.8,9.9,4847.4,,-0.03,RV
81 Cet b,2.28088,4.31096,,,952.7,0.206,,2008,81 Cet,1.74,15.7275,4845,,-0.07,RV
91 Aqr b,0.688457,3.07016,,,181.4,0.027,,2013,91 Aqr,1.32,11,4681,,0,RV
BD +14 4559 b,0.775866,1.51929,,,268.94,0.29,,2009,BD +14 4559,0.86,0.725686,4814,,0.1,RV
BD +20 2457 b,1.04992,11.8883,,,379.63,0.15,,2009,BD +20 2457,1.06,32.9639,4259,,-0.79,RV
BD +20 2457 c,1.45701,6.90191,,,621.99,0.18,,2009,BD +20 2457,1.06,32.9639,4259,,-0.79,RV
BD +48 738 b,1.11234,1.2654,,,392.6,0.2,,2012,BD +48 738,1.19,11.7902,4658,,-0.09,RV
BD -08 2823 b,0.0558236,0.045941,,,5.6,0.15,,2010,BD -08 2823,0.74,1.27853,4746,,-0.07,RV
BD -08 2823 c,0.679166,0.328101,,,237.6,0.19,,2010,BD -08 2823,0.74,1.27853,4746,,-0.07,RV
BD -10 3166 b,0.0437823,0.429903,,,3.48777,0.019,,2000,BD -10 3166,0.92,0.745254,5393.03,,0.381727,RV
CoRoT-1 b,0.0253191,1.02979,1.49,0.38,1.5089557,0,85.1,2008,CoRoT-1,0.95,1.11,5950,,-0.3,Transit
CoRoT-10 b,0.105463,2.75536,0.97,3.7,13.2406,0.53,88.55,2010,CoRoT-10,0.89,0.79,5075,2.371,0.26,Transit
CoRoT-11 b,0.0440549,2.34813,1.43,0.99,2.99433,0,83.17,2010,CoRoT-11,1.27,1.37,6440,0.4929,-0.03,Transit
CoRoT-12 b,0.0401409,0.91918,1.44,0.41097,2.828042,0.07,85.48,2010,CoRoT-12,1.078,1.116,5675,0.77,0.16,Transit
CoRoT-13 b,0.051069,1.31099,0.885,2.34,4.03519,0,88.02,2010,CoRoT-13,1.09,1.01,5945,1.04857,0.01,Transit
CoRoT-14 b,0.0269122,7.69464,1.09,7.3,1.51214,0,79.6,2011,CoRoT-14,1.13,1.21,6035,0.65,0.05,Transit
CoRoT-16 b,0.0617874,0.537982,1.17,0.44,5.35227,0.33,85.01,2012,CoRoT-16,1.098,1.19,5650,0.93,0.19,Transit
CoRoT-17 b,0.0480499,2.46001,1.02,2.82,3.7681,0,88.34,2011,CoRoT-17,1.04,1.5121,5740,,0,Transit
CoRoT-18 b,0.0295483,3.48652,1.31,2.2,1.9000693,0.04,86.5,2011,CoRoT-18,0.95,1,5440,1.35,-0.1,Transit
CoRoT-19 b,0.0516604,1.10792,1.29,0.71,3.89713,0.047,88,2012,CoRoT-19,1.21,1.65,6090,0.38,-0.02,Transit
CoRoT-2 b,0.0280884,3.27527,1.466,1.46523,1.7429935,0.0143,88.08,2008,CoRoT-2,0.97,0.902,5625,1.86842,,Transit
CoRoT-20 b,0.0901485,4.24,0.84,8.87,9.24285,0.562,88.21,2012,CoRoT-20,1.14,1.02,5880,1.51,0.14,Transit
CoRoT-22 b,0.0922129,0.0383,0.445,0.249,9.75598,0.077,89.749,2014,CoRoT-22,1.099,1.136,5939,1.03,0.17,Transit
CoRoT-23 b,0.0483417,3.0853,1.05,3,3.6313,0.16,85.7,2012,CoRoT-23,1.14,1.61,5900,0.5,0.05,Transit
CoRoT-25 b,0.0577982,0.27,1.08,0.15,4.86069,0,84.5,2013,CoRoT-25,1.09,1.19,6040,,-0.01,Transit
CoRoT-26 b,0.052477,0.479479,1.26,0.28,4.20474,0,86.8,2013,CoRoT-26,1.09,1.79,5590,,0.01,Transit
CoRoT-27 b,0.0466557,10.3882,1.007,13.4823,3.57532,0,86.7,2014,CoRoT-27,1.05,1.08,5900,1.24,0.1,Transit
CoRoT-28 b,0.0590095,0.484,0.955,0.69,5.20851,0.047,88.1,2015,CoRoT-28,1.01,1.78,5150,0.27,0.15,Transit
CoRoT-29 b,0.0389589,0.85,0.9,1.45,2.85057,0.082,87.3,2015,CoRoT-29,0.97,0.9,5260,1.825,0.2,Transit
CoRoT-3 b,0.0573788,21.8549,1.01,26.4,4.2568,0,85.9,2008,CoRoT-3,1.37,1.56,6740,,-0.02,Transit
CoRoT-4 b,0.0903166,0.717419,1.19,0.525,9.20205,0,90,2008,CoRoT-4,1.16,1.17,6190,,,Transit
CoRoT-5 b,0.0496334,0.462537,1.388,0.217,4.0378962,0.09,85.83,2009,CoRoT-5,1,1.186,6100,,-0.2,Transit
CoRoT-6 b,0.0854177,2.95364,1.166,2.32,8.886593,0,89.07,2010,CoRoT-6,1.05,1.025,6090,,-0.2,Transit
CoRoT-7 b,0.0171898,0.014,0.143989,6.21,0.85359163,0,80.1,2009,CoRoT-7,0.93,0.87,5275,,0.05,Transit
CoRoT-8 b,0.0633825,0.216078,0.57,1.6,6.21229,0,88.4,2010,CoRoT-8,0.88,0.77,5080,1.92857,0.315,Transit
CoRoT-9 b,0.406991,0.843564,1.05,0.9,95.2738,0.11,89.99,2010,CoRoT-9,0.99,0.94,5625,1.2,-0.01,Transit
Fomalhaut b,113.443,0.5,,,318498,0.12,,2008,Fomalhaut,1.92,1.842,8590,,,Imaging
GJ 1214 b,0.0143253,0.0203507,0.2389,1.87,1.58040482,0,90,2009,GJ 1214,0.157,0.211,3026,24.1,,Transit
GJ 15 A b,0.0716678,0.0168,,,11.4433,0,,2014,GJ 15 A,0.375,0.3863,3567,,-0.32,RV
GJ 163 b,0.0606753,0.033876,,,8.631,0.11,,2013,GJ 163,0.4,,,,,RV
GJ 163 c,0.125354,0.0215524,,,25.63058,0.099,,2013,GJ 163,0.4,,,,,RV
GJ 163 d,1.03037,0.0926098,,,603.95116,0.373,,2013,GJ 163,0.4,,,,,RV
GJ 176 b,0.0656822,0.0259969,,,8.7832,0,,2009,GJ 176,0.49,,,,-0.1,RV
GJ 179 b,2.41241,0.824243,,,2288,0.21,,2010,GJ 179,0.357,,3370,,0.3,RV
GJ 317 b,0.953099,1.26045,,,692,0.11,,2007,GJ 317,0.24,,,,0.36,RV
GJ 328 b,4.43476,2.3,,,4100,0.37,,2013,GJ 328,0.69,,3900,,,RV
GJ 3293 b,0.143394,0.081,,,30.6,0.07,,2015,GJ 3293,0.42,0.404,3466,,0.02,RV
GJ 3293 c,0.363982,0.081,,,123.75,0.33,,2015,GJ 3293,0.42,0.404,3466,,0.02,RV
GJ 3341 b,0.0892579,0.0208212,,,14.207,0.31,,2015,GJ 3341,0.47,0.439,3526,,-0.09,RV
GJ 3470 b,0.0356088,0.0440093,0.374365,1.07,3.336649,0,88.12,2012,GJ 3470,0.541,0.503,3600,,,RV
GJ 3634 b,0.0286881,0.0221881,,,2.64561,0.08,,2011,GJ 3634,0.45,0.43,,,,RV
GJ 433 b,0.0580371,0.0181986,,,7.3709,0.08,,2013,GJ 433,0.48,,3600,,-0.22,RV
GJ 436 b,0.0287188,0.0726979,0.3767,1.69,2.64385,0.16,86.36,2004,GJ 436,0.452,0.464,3350,4.593,,RV
GJ 504 b,,4,,,,,,2013,GJ 504,1.22,0.912273,6234,,0.28,Imaging
GJ 581 b,0.0406125,0.0499019,,,5.36865,0.031,,2005,GJ 581,0.31,0.299,3498,,-0.1,RV
GJ 581 c,0.0729238,0.0167756,,,12.9182,0.07,,2007,GJ 581,0.31,0.299,3498,,-0.1,RV
GJ 581 e,0.028459,0.00613456,,,3.14945,0.32,,2009,GJ 581,0.31,0.299,3498,,-0.1,RV
GJ 649 b,1.13179,0.325341,,,598.3,0.3,,2010,GJ 649,0.54,,3700,,0.08,RV
GJ 667 C b,0.0504277,0.0174951,,,7.1999,0.15,,2011,GJ 667 C,0.33,,3350,,-0.55,RV
GJ 667 C c,0.125003,0.0130687,,,28.1,0.27,,2011,GJ 667 C,0.33,,3350,,-0.55,RV
GJ 674 b,0.0386657,0.034879,,,4.6938,0.2,,2007,GJ 674,0.35,,3600,,-0.28,RV
GJ 676 A b,1.81539,4.89701,,,1056.8,0.326,,2011,GJ 676 A,0.71,,,,0.18,RV
