NAME,A,MASS,R,ECC,PER,I,OM,T0,DATE,DENSITY,PLANETDISCMETH,MSTAR,RSTAR,TEFF,FE,RHOSTAR
,au,mjupiter,rjupiter,,day,deg,deg,jd,,g/cm^3,,msun,rsun,k,,g/cm^3
Kepler-107 d,0.0780099,0.00371234,0.095459,,7.958203,,90,2454970.79968,2014,,Transit,,1.411,5851,,
Kepler-1049 b,0.0344721,0.00245309,0.085,0,3.27346074,,90,,2016,,Transit,0.51,0.49,3864,-0.33,
Kepler-813 b,0.13761,0.0159697,0.191,0,19.12947337,,90,,2016,,Transit,0.95,0.93,5743,-0.13,
Kepler-427 b,0.091351,0.29,1.23,0,10.290994,89.5,90,2454970.02207,2010,0.16,Transit,0.96,1.35,5800,-0.19,0.4
Kepler-1056 b,0.185149,0.0271261,0.269,0,27.495606,,90,,2016,,Transit,1.12,1.2,6127,0.02,
Kepler-1165 b,0.0912977,0.0115843,0.138,0,9.478522,,90,,2016,,Transit,1.13,1.18,6080,0.05,
Kepler-1104 b,0.0627651,0.00609283,0.11,0,5.03728015,,90,,2016,,Transit,1.3,1.41,6417,0.13,
WASP-14 b,0.0367693,7.69234,1.281,0.091,2.243752,84.32,253.371,2454462.3304,2009,4.65633,Transit,1.31,1.31,6475,0,0.542
Kepler-50 b,0.0825598,0.0164915,0.196096,,7.8125124,,,,2011,,Transit,1.23,1.88,6058,,
NN Ser d,3.70596,0.642621,,0.05,2605,,152,2458029,2010,,Timing,,,,,
Kepler-1279 b,0.170989,0.0129028,0.156,0,23.4774101,,90,,2016,,Transit,1.21,1.33,6221,0.06,
Kepler-1599 b,0.48075,0.0120821,0.145,0,122.363553,,90,,2016,,Transit,0.99,0.99,5767,0.02,
Kepler-20 b,0.0453704,0.0266646,0.170247,0,3.6961219,86.5,79.2157,2454966.34,2011,6.5,Transit,0.912,0.944,5466,0.02,1.51
HAT-P-27 b,0.0399488,0.617485,1.02,0,3.039577,85,90,2455407.9088,2011,0.771559,Transit,0.92,0.87,5190,0.14,1.94304
Kepler-181 b,0.0419466,0.00674351,0.113302,,3.137873,,90,2454966.5556199998,2014,,Transit,,0.749,5333,,
HD 116029 b,1.64869,1.9075,,0,670,,40,2455220,2011,,RV,1.33,5.04235,4811,0.08,
Kepler-207 b,0.0269045,0.0117295,0.140066,,1.611865,,90,2454966.57041,2014,,Transit,,1.588,5920,,
Kepler-1156 b,0.101981,0.00774372,0.118,0,11.89520511,,90,,2016,,Transit,1,1,5778,0.02,
Kepler-1512 b,0.13139,0.00518721,0.105,0,20.35972599,,90,,2016,,Transit,0.73,0.67,4372,0.2,
Kepler-787 b,0.0161327,0.00688654,0.114,0,0.9283105,,90,,2016,,Transit,0.65,0.62,4248,-0.09,
Kepler-528 b,0.143629,0.0154788,0.186,0,19.78297415,,90,,2016,,Transit,1.01,1.06,5807,0.02,
HD 219828 b,0.0515012,0.0622185,,0,3.8334999,,0,2453898.629,2007,,RV,1.24,1.4682,5891,0.19,
Kepler-480 b,0.0609811,0.0233514,0.248,0,4.9195838,,90,,2016,,Transit,1.25,1.34,6322,0.11,
Kepler-1567 b,0.5527,0.0227057,0.244,0,153.979578,,90,,2016,,Transit,0.95,0.93,5655,-0.03,
Kepler-1390 b,0.0675681,0.00518721,0.105,0,6.48021673,,90,,2016,,Transit,0.98,0.98,5753,-0.01,
Kepler-1642 b,0.0994208,0.0304768,0.285,0,12.2057513,,90,,2016,,Transit,0.88,0.84,5355,-0.01,
Kepler-11 c,0.106909,0.00912437,0.255816,0.0256125,13.0241,89.59,51.3402,2455582.016,2011,0.66,Transit,0.961,1.065,5663,0.0182,1.122
Kepler-871 b,0.159318,0.0437521,0.334,0,22.0459018,,90,,2016,,Transit,1.11,1.14,5993,0.09,
Kepler-1131 b,0.0458416,0.0118667,0.142,0,3.53232449,,90,,2016,,Transit,1.03,1.04,5851,0.05,
Kepler-705 b,0.231978,0.0156727,0.188,0,56.0560538,,90,,2016,,Transit,0.53,0.51,3722,0.07,
HD 1237 b,0.494668,3.3748,,0.511,133.71001,,290.7,2451545.86,2001,,RV,0.9,0.858011,5536,0.12,
WASP-21 b,0.0521087,0.300272,1.07,0,4.322482,88.75,90,2454743.0419,2010,0.3192,Transit,1.01,1.06,5800,-0.46,0.84
Kepler-284 c,0.219317,0.0210192,0.232849,,37.514456,,90,2455022.30068,2014,,Transit,,0.814,5615,,
Kepler-186 c,0.0574114,0.00636705,0.111418,0.03,7.267302,,270,2455003.681,2014,,Transit,0.478,0.472,3788,-0.28,4.92
HD 4308 b,0.119192,0.0477376,,0,15.56,,359,2453314.7,2006,,RV,0.933,0.82259,5695,-0.31,
Kepler-239 b,0.101225,0.0177874,0.207869,,11.763051,,90,2455013.93614,2014,,Transit,,0.763,4914,,
Kepler-651 b,0.146649,0.0181548,0.211,0,21.38521506,,90,,2016,,Transit,0.92,0.87,5522,-0.04,
Kepler-80 f,0.017386,0.00609283,0.11,0,0.98678706,,90,,2016,,Transit,0.72,0.64,4613,-0.562,
Kepler-1217 b,0.0320163,0.0147338,0.178,0,2.03232507,,90,,2016,,Transit,1.06,1.08,5905,0.07,
Kepler-895 b,0.0337283,0.0115145,0.137,0,2.80624233,,90,,2016,,Transit,0.65,0.61,4315,-0.16,
Kepler-628 b,0.121444,0.243389,0.749,0,15.4580567,,90,,2016,,Transit,1,1.28,5721,0.04,
Kepler-174 b,0.113583,0.014454,0.174859,,13.98179,,90,2455014.97351,2014,,Transit,,0.622,4880,,
Kepler-440 b,0.353207,0.0136945,0.165939,0,101.11141,89.93,90,2455756.2986,2010,,Transit,0.575,0.559,4134,-0.3,4.76
Kepler-403 d,0,0.00991268,0.127,0,13.61159129,,90,,2016,,Transit,0,1.33,6090,-0.145,
Kepler-224 d,0.0988375,0.0174811,0.205192,,11.349393,,90,2454967.31602,2014,,Transit,,0.676,5018,,
Kepler-389 c,0.116434,0.0107805,0.130252,,14.51143,,90,2454976.86026,2014,,Transit,,0.792,5376,,
Kepler-674 b,0.0282874,0.0125233,0.151,0,2.24338185,,90,,2016,,Transit,0.6,0.57,4192,-0.27,
Kepler-1047 c,0.0435026,0.00277643,0.088,0,3.18897601,,90,,2016,,Transit,1.08,1.13,5754,0.29,
Kepler-1247 b,0.106621,0.0178026,0.208,0,13.71220213,,90,,2016,,Transit,0.86,0.82,5303,-0.05,
Kepler-1210 b,0.0771394,0.0125983,0.152,0,8.07124073,,90,,2016,,Transit,0.94,0.92,5568,0.04,
Kepler-254 c,0.104915,0.0160511,0.19181,,12.412183,,90,2454975.53938,2014,,Transit,,0.91,5957,,
Kepler-236 c,0.162691,0.0147725,0.178428,,23.968127,,90,2455019.2169,2014,,Transit,,0.51,3750,,
WASP-25 b,0.0473714,0.57847,1.22,0,3.764825,88,90,2455274.99649,2011,0.42161,Transit,1,0.92,5750,-0.05,1.29
Kepler-186 d,0.0860831,0.00934866,0.12479,0.03,13.342996,,270,2455003.233,2014,,Transit,0.478,0.472,3788,-0.28,4.92
Kepler-1646 b,0.0330793,0.00609283,0.11,0,4.48558383,,90,,2016,,Transit,0.24,0.26,3299,0.04,
HD 24040 b,4.92406,4.02189,,0.04,3668,,154,2454308,2007,,RV,1.18,1.15444,5852.73,0.206313,
Kepler-359 c,0.292189,0.0607789,0.38362,,57.68802,,90,2454972.94136,2014,,Transit,,1.086,6248,,
Kepler-211 c,0.0649112,0.00711292,0.115086,,6.04045,,90,2455005.59435,2014,,Transit,,0.816,5123,,
Kepler-967 b,0.103279,0.0180364,0.21,0,13.22713379,,90,,2016,,Transit,0.84,0.8,5178,-0.03,
Kepler-1574 b,0.0726189,0.00709482,0.115,0,6.9424334,,90,,2016,,Transit,1.06,1.08,5892,0.08,
Kepler-1157 b,0.0483728,0.00392895,0.097,0,4.45743164,,90,,2016,,Transit,0.76,0.71,4679,0.05,
Kepler-549 b,0.230006,0.020474,0.229,0,42.9495649,,90,,2016,,Transit,0.88,0.84,5360,-0.03,
Kepler-1510 b,0.399998,0.0340314,0.3,0,84.703921,,90,,2016,,Transit,1.19,1.28,6200,0.04,
Kepler-1002 b,0.0556094,0.0126737,0.153,0,4.33642933,,90,,2016,,Transit,1.22,1.57,6144,0.04,
Kepler-294 c,0.0690438,0.0223552,0.24177,,6.6264,,90,2455016.98818,2014,,Transit,,0.976,5913,,
Kepler-263 c,0.256083,0.019315,0.220359,,47.332773,,90,2454984.4095,2014,,Transit,,0.785,5265,,
Kepler-349 b,0.0641159,0.0139923,0.169507,,5.929778,,90,2454968.49118,2014,,Transit,,0.927,5956,,
Kepler-1563 b,0.0445351,0.00105753,0.067,0,3.43276598,,90,,2016,,Transit,1,0.99,5765,0.02,
Kepler-1611 b,0.0573666,0.00136198,0.072,0,5.1762429,,90,,2016,,Transit,0.94,0.93,5605,0.01,
Kepler-1284 b,0.0140554,0.00571923,0.108,0,0.66407381,,90,,2016,,Transit,0.84,0.79,5123,0.03,
HD 200964 b,1.64347,1.94873,,0.04,613.8,,288,2454900,2011,,RV,1.57,3.80029,5082,-0.2,
Kepler-706 b,0.223617,1,1.175,0,41.40831347,,90,,2016,,Transit,0.87,0.84,5394,-0.06,
HD 147018 b,0.238855,2.12711,,0.4686,44.236,,335.97,2454459.49,2010,,RV,0.927,1.05268,5441,0.1,
HD 218566 b,0.687282,0.212872,,0.3,225.7,,36,2450360,2011,,RV,0.85,0.590728,4820,0.38,
HD 45364 b,0.68156,0.187149,,0.1684,226.93,,162.58,2453535.817118141,2009,,RV,0.82,1.02464,5434,-0.17,
Kepler-1177 b,0.436075,0.014034,0.17,0,106.247547,,90,,2016,,Transit,0.98,0.97,5712,0.02,
Kepler-1364 b,0.125617,0.0160703,0.192,0,13.32196237,,90,,2016,,Transit,1.49,1.79,6805,0.04,
Kepler-653 b,0.118258,0.0143786,0.174,0,14.70748976,,90,,2016,,Transit,1.02,1.19,5665,0.23,
Kepler-553 b,0.0482066,0.0707577,0.413,0,4.03046804,,90,,2016,,Transit,0.92,0.85,5266,0.21,
Kepler-361 b,0.081426,0.010538,0.12936,,8.486616,,90,2454971.01734,2014,,Transit,,1.343,6169,,
Kepler-318 c,0.101523,0.0419521,0.328308,,11.815007,,90,2454966.08965,2014,,Transit,,1.189,5746,,
Kepler-372 b,0.0705863,0.00850717,0.121331,,6.849692,,90,2454967.68069,2014,,Transit,,1.137,6509,,
Kepler-197 e,0.168262,0.00208313,0.0811848,,25.209715,,90,2454987.41342,2014,,Transit,,1.12,6004,,
HD 141937 b,1.50087,9.4752,,0.41,653.21997,,187.72,2451847.38,2002,,RV,1.048,1.06384,5846.82,0.128642,
Kepler-405 c,0.187804,0.071727,0.415737,,29.726682,,90,2456560.20398,2014,,Transit,,0.893,5818,,
Kepler-104 d,0.271796,0.0392746,0.319386,,51.755394,,90,2455104.08611,2014,,Transit,,1.349,5711,,
Kepler-702 b,0.0907551,0.531485,0.818,0,10.52629406,,90,,2016,,Transit,0.9,0.86,5419,0,
Kepler-26 d,0.0454914,0.00371234,0.095459,,3.543919,,90,2454969.25903,2014,,Transit,,0.571,4486,,
Kepler-159 b,0.0916828,0.0183139,0.212329,,10.139623,,90,2455011.44948,2014,,Transit,,0.663,4625,,
HD 156668 b,0.0499846,0.0130582,,0,4.6455,,90,2454718.57,2011,,RV,0.772,0.728691,4850,0.05,
MOA-2009-BLG-387L b,1.76808,2.6,,,1970,,,,2011,,Microlensing,0.19,,,,
Kepler-1045 b,0.165053,0.0220818,0.24,0,26.41045478,,90,,2016,,Transit,0.86,0.82,5301,-0.03,
Kepler-905 b,0.0568739,0.00965491,0.126,0,5.08274652,,90,,2016,,Transit,0.95,0.86,5461,0.09,
Kepler-763 b,0.0208123,0.00590412,0.109,0,1.19655156,,90,,2016,,Transit,0.84,0.8,5166,0.01,
